smiles	logS	S	scaffold
O=C(NCCc1ccc2c(c1)OCO2)C1CCCC1	1.624178926	42.09000002442061	C1CCC(CCCCC2CCC3CCCC3C2)C1
CCc1nc(NC(=O)c2ccccc2F)sc1C	1.361916619	23.0100000175561	C1CCC(CCC2CCCC2)CC1
O=C(NCc1cccc(F)c1)c1[nH]nnc1-c1ccccc1	1.321184027	20.949999985416618	C1CCC(CCCC2CCCC2C2CCCCC2)CC1
Cc1ccc(-c2noc3nc(C)cc(C(=O)O)c23)cc1	1.871047261	74.30999994772749	C1CCC(C2CCC3CCCCC32)CC1
CN1CCC(NC(=O)COc2ccc(C#N)cc2)CC1	1.546295835	35.179999990162564	C1CCC(CCCCC2CCCCC2)CC1
CC(C)CCNC(=O)c1ccc2ccccc2n1	0.862131379	7.279999994752615	C1CCC2CCCCC2C1
Cc1nccc(-c2cccc(NCc3cc(C)on3)c2)n1	1.668385917	46.60000003326312	C1CCC(C2CCCC(CCC3CCCC3)C2)CC1
CCCNC(=O)c1c(C)nn(-c2ccccc2)c1C	1.487703863	30.739999988411203	C1CCC(C2CCCC2)CC1
Nc1ccc2c(ccn2CC(=O)N2CCOCC2)c1	1.702861171	50.45000004961083	C1CCC(CCC2CCC3CCCCC32)CC1
CCn1cc(NC(=O)c2ccccc2C)cn1	1.507451061	32.17000000726151	C1CCC(CCC2CCCC2)CC1
Cc1cc(NC(=O)c2cccs2)no1	1.500099192	31.63000000613797	C1CCC(CCC2CCCC2)C1
O=C(CCOc1ccccc1)N1CCCC1	1.589949601	38.89999997082618	C1CCC(CCCCC2CCCC2)CC1
N#Cc1ccc(CCC(=O)Nc2ccncc2)cc1	1.579097327	37.94000003908107	C1CCC(CCCCC2CCCCC2)CC1
O=C(Nc1ccc2sccc2c1)N1CCCN(C(=O)Oc2ccccc2)CC1	1.57818061	37.86000003244878	C1CCC(CCC2CCCC(CCC3CCC4CCCC4C3)CC2)CC1
CC(C)C(=O)Nc1ncc(-c2ccccc2)s1	-0.259637311	0.5499999993740788	C1CCC(C2CCCC2)CC1
CSCc1csc(NC(C)=O)n1	1.444981112	27.859999994358347	C1CCCC1
O=C(Nc1ccccc1)c1sc(N2CCOCC2)nc1-c1ccccc1	-0.585026652	0.2600000000174704	C1CCC(CCC2CC(C3CCCCC3)CC2C2CCCCC2)CC1
Cc1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1	0.748188027	5.5999999999200485	C1CCC(CCCC2CCC3CCCCC32)CC1
Cc1ccc(C)c(OCC(=O)N2CCC(C(=O)Nc3ccccc3)CC2)c1	0.527629901	3.370000000998375	C1CCC(CCCC2CCC(CCC3CCCCC3)CC2)CC1
COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccncc4)n3)c(C)c2)cc1	-0.508638306	0.31000000011829637	C1CCC(CCC2CCC(C3CCC(CC4CCCCC4)CC3)C2)CC1
CCCn1nccc1NC(=O)c1c(C)noc1C	1.498310554	31.500000015260568	C1CCC(CCC2CCCC2)C1
Cc1nc(-c2ccccc2)ccc1C(=O)N1CCCS1(=O)=O	1.894924977	78.50999993500321	C1CCC(C2CCC(CC3CCCC3)CC2)CC1
COc1ccc(-c2csc(CC(N)=O)n2)cc1	1.495544338	31.30000003268787	C1CCC(C2CCCC2)CC1
CCc1ccccc1NC(=O)c1cc(C)nc2onc(C)c12	1.123851641	13.300000001007975	C1CCC(CCC2CCCC3CCCC32)CC1
Cn1cc(-c2nc(C(=O)Nc3ccc4c(c3)OCCCO4)cs2)cn1	1.531478917	33.99999999669194	C1CCC2CCC(CCC3CCC(C4CCCC4)C3)CC2CC1
