smiles	logS	S	scaffold	Hydroxyl (-OH)	Methyl (-CH3)	Amine (-NH2)	Nitro (-NO2)	Ether (R-O-R')	Aldehyde (-CHO)	Ketone (-C=O)	Sulfonyl (R-SO2-R')	Phenyl (Ph)	Amide (-CONH2)	Alcohol (-OH)	wt	nH	logp
O=C(NCCc1ccc2c(c1)OCO2)C1CCCC1	1.624178926	42.09000002442061	C1CCC(CCCCC2CCC3CCCC3C2)C1	0	0	0	0	2	0	1	0	1	0	0	261.32099999999997	1	2.2641999999999998
CCc1nc(NC(=O)c2ccccc2F)sc1C	1.361916619	23.0100000175561	C1CCC(CCC2CCCC2)CC1	0	2	0	0	0	0	0	0	1	0	0	264.325	1	3.4053200000000015
O=C(NCc1cccc(F)c1)c1[nH]nnc1-c1ccccc1	1.321184027	20.949999985416618	C1CCC(CCCC2CCCC2C2CCCCC2)CC1	0	0	0	0	0	0	0	0	2	0	0	296.305	2	2.540800000000001
Cc1ccc(-c2noc3nc(C)cc(C(=O)O)c23)cc1	1.871047261	74.30999994772749	C1CCC(C2CCC3CCCCC32)CC1	1	2	0	0	0	0	0	0	1	0	1	268.272	1	3.204840000000001
CN1CCC(NC(=O)COc2ccc(C#N)cc2)CC1	1.546295835	35.179999990162564	C1CCC(CCCCC2CCCCC2)CC1	0	1	0	0	1	0	1	0	1	0	0	273.33600000000007	1	1.1474799999999994
CC(C)CCNC(=O)c1ccc2ccccc2n1	0.862131379	7.279999994752615	C1CCC2CCCCC2C1	0	2	0	0	0	0	0	0	1	0	0	242.32200000000003	1	3.010700000000001
Cc1nccc(-c2cccc(NCc3cc(C)on3)c2)n1	1.668385917	46.60000003326312	C1CCC(C2CCCC(CCC3CCCC3)C2)CC1	0	2	0	0	0	0	0	0	1	0	0	280.33099999999996	1	3.360540000000001
CCCNC(=O)c1c(C)nn(-c2ccccc2)c1C	1.487703863	30.739999988411203	C1CCC(C2CCCC2)CC1	0	3	0	0	0	0	0	0	1	0	0	257.337	1	2.628940000000001
Nc1ccc2c(ccn2CC(=O)N2CCOCC2)c1	1.702861171	50.45000004961083	C1CCC(CCC2CCC3CCCCC32)CC1	0	0	1	0	1	0	1	0	1	0	0	259.3089999999999	1	1.0822999999999998
CCn1cc(NC(=O)c2ccccc2C)cn1	1.507451061	32.17000000726151	C1CCC(CCC2CCCC2)CC1	0	2	0	0	0	0	0	0	1	0	0	229.28300000000002	1	2.4637200000000004
Cc1cc(NC(=O)c2cccs2)no1	1.500099192	31.63000000613797	C1CCC(CCC2CCCC2)C1	0	1	0	0	0	0	0	0	0	0	0	208.24200000000002	1	2.2968200000000003
O=C(CCOc1ccccc1)N1CCCC1	1.589949601	38.89999997082618	C1CCC(CCCCC2CCCC2)CC1	0	0	0	0	1	0	1	0	1	0	0	219.28399999999993	0	2.0779
N#Cc1ccc(CCC(=O)Nc2ccncc2)cc1	1.579097327	37.94000003908107	C1CCC(CCCCC2CCCCC2)CC1	0	0	0	0	0	0	1	0	1	0	0	251.28900000000004	1	2.5245800000000003
O=C(Nc1ccc2sccc2c1)N1CCCN(C(=O)Oc2ccccc2)CC1	1.57818061	37.86000003244878	C1CCC(CCC2CCCC(CCC3CCC4CCCC4C3)CC2)CC1	0	0	0	0	1	0	0	0	2	0	0	395.48400000000015	1	4.639900000000004
CC(C)C(=O)Nc1ncc(-c2ccccc2)s1	-0.259637311	0.5499999993740788	C1CCC(C2CCCC2)CC1	0	2	0	0	0	0	1	0	1	0	0	246.335	1	3.404600000000002
CSCc1csc(NC(C)=O)n1	1.444981112	27.859999994358347	C1CCCC1	0	2	0	0	0	0	1	0	0	0	0	202.304	1	1.9645
O=C(Nc1ccccc1)c1sc(N2CCOCC2)nc1-c1ccccc1	-0.585026652	0.2600000000174704	C1CCC(CCC2CC(C3CCCCC3)CC2C2CCCCC2)CC1	0	0	0	0	1	0	0	0	2	0	0	365.458	1	3.8990000000000027
Cc1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1	0.748188027	5.5999999999200485	C1CCC(CCCC2CCC3CCCCC32)CC1	0	1	0	0	0	0	1	0	2	0	0	264.32800000000003	2	3.6575200000000017
Cc1ccc(C)c(OCC(=O)N2CCC(C(=O)Nc3ccccc3)CC2)c1	0.527629901	3.370000000998375	C1CCC(CCCC2CCC(CCC3CCCCC3)CC2)CC1	0	2	0	0	1	0	2	0	2	0	0	366.4610000000001	1	3.559540000000002
COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccncc4)n3)c(C)c2)cc1	-0.508638306	0.3100000001182963	C1CCC(CCC2CCC(C3CCC(CC4CCCCC4)CC3)C2)CC1	0	3	0	0	2	0	0	0	2	0	0	431.51700000000017	1	5.8751400000000045
CCCn1nccc1NC(=O)c1c(C)noc1C	1.498310554	31.500000015260568	C1CCC(CCC2CCCC2)C1	0	3	0	0	0	0	0	0	0	0	0	248.28599999999994	1	2.15024
Cc1nc(-c2ccccc2)ccc1C(=O)N1CCCS1(=O)=O	1.894924977	78.50999993500321	C1CCC(C2CCC(CC3CCCC3)CC2)CC1	0	1	0	0	0	0	0	1	1	0	0	316.38199999999995	0	2.2327200000000005
COc1ccc(-c2csc(CC(N)=O)n2)cc1	1.495544338	31.30000003268787	C1CCC(C2CCCC2)CC1	0	1	1	0	1	0	1	0	1	1	0	248.30699999999996	1	1.8465
CCc1ccccc1NC(=O)c1cc(C)nc2onc(C)c12	1.123851641	13.300000001007977	C1CCC(CCC2CCCC3CCCC32)CC1	0	3	0	0	0	0	0	0	1	0	0	295.34200000000004	1	3.654340000000002
Cn1cc(-c2nc(C(=O)Nc3ccc4c(c3)OCCCO4)cs2)cn1	1.531478917	33.99999999669194	C1CCC2CCC(CCC3CCC(C4CCCC4)C3)CC2CC1	0	1	0	0	2	0	0	0	1	0	0	356.40700000000004	1	2.957200000000001
CCc1ccccc1NC(=O)Cn1nc(C)cc1C	1.645618738	44.21999997528871	C1CCC(CCCC2CCCC2)CC1	0	3	0	0	0	0	1	0	1	0	0	257.33699999999993	1	2.7010400000000008
N#Cc1cccc(NC(=O)C2CCC2)c1	1.528402438	33.76000000360557	C1CCC(CCC2CCC2)CC1	0	0	0	0	0	0	1	0	1	0	0	200.24099999999996	1	2.29688
Cc1noc(OCC(=O)N2CCCCCC2)n1	1.701049631	50.24000003133364	C1CCCC(CCCC2CCCC2)CC1	0	1	0	0	1	0	1	0	0	0	0	239.27499999999992	0	1.15942
COc1ccccc1C(=O)Nc1cccc(-c2ccnc(C)n2)c1	1.666705136	46.41999998718449	C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1	0	2	0	0	1	0	0	0	2	0	0	319.36400000000003	1	3.712920000000002
CC(C)(C)OC(=O)N1CCNC(=O)C1	1.535167485	34.289999990924514	C1CCCCC1	0	3	0	0	1	0	1	0	0	0	0	200.23799999999997	1	0.3533
Cc1cc(C)c(-c2csc(NC(=O)Cn3cnnn3)n2)c(C)c1	-0.920818754	0.1199999999868407	C1CCC(C2CCC(CCCC3CCCC3)C2)CC1	0	3	0	0	0	0	1	0	1	0	0	328.40100000000007	1	2.3605599999999995
O=C(NC1CC1)c1cccnc1Oc1ccccc1	1.814513952	65.23999994468302	C1CCC(CC2CCCCC2CCC2CC2)CC1	0	0	0	0	1	0	0	0	1	0	0	254.28900000000002	1	2.7661000000000016
COc1ccc(-c2ccc(CNc3ccc(CN4CCC(C)CC4)cc3)cc2)cc1	1.167317335	14.700000008523732	C1CCC(CC2CCC(CCC3CCC(C4CCCCC4)CC3)CC2)CC1	0	2	0	0	1	0	0	0	3	0	0	400.56600000000014	1	6.206200000000006
Cc1ccsc1C(=O)Nc1nc2ccccc2s1	-0.537602002	0.290000000067472	C1CCC(CCC2CC3CCCCC3C2)C1	0	1	0	0	0	0	0	0	1	0	0	274.37	1	3.918520000000001
Cc1ccc(C(=O)Nc2ccccc2C(C)(C)C)cn1	1.50501424	31.98999999380469	C1CCC(CCC2CCCCC2)CC1	0	4	0	0	0	0	0	0	1	0	0	268.36	1	3.9398200000000028
CCOC(=O)c1ccc(NC(=O)Cn2cnc3ccccc32)cc1	1.264817823	18.399999999595963	C1CCC(CCCC2CCC3CCCCC32)CC1	0	1	0	0	1	0	1	0	2	0	0	323.35200000000003	1	2.851700000000001
O=C(NCCNC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccco1	1.575649615	37.640000021214966	C(CCCC1CC(C2CCCCC2)CC2CCCCC12)CCC1CCCC1	0	0	0	0	0	0	0	0	2	0	0	385.4230000000001	2	3.654600000000002
Cc1ccc(CC(=O)NCc2cccc(C(=O)Nc3ccccc3)c2)cc1	-0.420216403	0.3800000003352843	C1CCC(CCCCC2CCCC(CCC3CCCCC3)C2)CC1	0	1	0	0	0	0	1	0	3	0	0	358.44100000000003	2	4.106220000000002
Cc1noc(-c2ccc(NC(=O)Cc3ccccc3)cc2)n1	0.899820502	7.939999992191601	C1CCC(CCCC2CCC(C3CCCC3)CC2)CC1	0	1	0	0	0	0	1	0	2	0	0	293.32599999999996	1	3.2262200000000014
