smiles	logS
O=C(NCCc1ccc2c(c1)OCO2)C1CCCC1	1.624178926
CCc1nc(NC(=O)c2ccccc2F)sc1C	1.361916619
O=C(NCc1cccc(F)c1)c1[nH]nnc1-c1ccccc1	1.321184027
Cc1ccc(-c2noc3nc(C)cc(C(=O)O)c23)cc1	1.871047261
CN1CCC(NC(=O)COc2ccc(C#N)cc2)CC1	1.546295835
CC(C)CCNC(=O)c1ccc2ccccc2n1	0.862131379
Cc1nccc(-c2cccc(NCc3cc(C)on3)c2)n1	1.668385917
CCCNC(=O)c1c(C)nn(-c2ccccc2)c1C	1.487703863
Nc1ccc2c(ccn2CC(=O)N2CCOCC2)c1	1.702861171
CCn1cc(NC(=O)c2ccccc2C)cn1	1.507451061
Cc1cc(NC(=O)c2cccs2)no1	1.500099192
O=C(CCOc1ccccc1)N1CCCC1	1.589949601
N#Cc1ccc(CCC(=O)Nc2ccncc2)cc1	1.579097327
O=C(Nc1ccc2sccc2c1)N1CCCN(C(=O)Oc2ccccc2)CC1	1.57818061
CC(C)C(=O)Nc1ncc(-c2ccccc2)s1	-0.259637311
CSCc1csc(NC(C)=O)n1	1.444981112
O=C(Nc1ccccc1)c1sc(N2CCOCC2)nc1-c1ccccc1	-0.585026652
Cc1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1	0.748188027
Cc1ccc(C)c(OCC(=O)N2CCC(C(=O)Nc3ccccc3)CC2)c1	0.527629901
COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccncc4)n3)c(C)c2)cc1	-0.508638306
CCCn1nccc1NC(=O)c1c(C)noc1C	1.498310554
Cc1nc(-c2ccccc2)ccc1C(=O)N1CCCS1(=O)=O	1.894924977
COc1ccc(-c2csc(CC(N)=O)n2)cc1	1.495544338
CCc1ccccc1NC(=O)c1cc(C)nc2onc(C)c12	1.123851641
Cn1cc(-c2nc(C(=O)Nc3ccc4c(c3)OCCCO4)cs2)cn1	1.531478917
CCc1ccccc1NC(=O)Cn1nc(C)cc1C	1.645618738
N#Cc1cccc(NC(=O)C2CCC2)c1	1.528402438
Cc1noc(OCC(=O)N2CCCCCC2)n1	1.701049631
COc1ccccc1C(=O)Nc1cccc(-c2ccnc(C)n2)c1	1.666705136
CC(C)(C)OC(=O)N1CCNC(=O)C1	1.535167485
Cc1cc(C)c(-c2csc(NC(=O)Cn3cnnn3)n2)c(C)c1	-0.920818754
O=C(NC1CC1)c1cccnc1Oc1ccccc1	1.814513952
COc1ccc(-c2ccc(CNc3ccc(CN4CCC(C)CC4)cc3)cc2)cc1	1.167317335
Cc1ccsc1C(=O)Nc1nc2ccccc2s1	-0.537602002
Cc1ccc(C(=O)Nc2ccccc2C(C)(C)C)cn1	1.50501424
CCOC(=O)c1ccc(NC(=O)Cn2cnc3ccccc32)cc1	1.264817823
O=C(NCCNC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccco1	1.575649615
Cc1ccc(CC(=O)NCc2cccc(C(=O)Nc3ccccc3)c2)cc1	-0.420216403
Cc1noc(-c2ccc(NC(=O)Cc3ccccc3)cc2)n1	0.899820502
Cn1ncc2c1CCc1sc(NC(=O)c3cccnc3)nc1-2	1.034227261
Cn1cc(NC(=O)c2csc(Cc3ccccc3)n2)cn1	1.538322333
CN(CC(=O)Nc1cccc(F)c1)C(=O)c1cccc(C#N)c1	1.749968084
COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1	0.672097858
Cn1ccc2c(NC(=O)N3CCCN(C(=O)Oc4ccccc4)CC3)cccc21	1.856608068
Cc1ccc2c(CC(=O)N(C)CC(N)=O)coc2c1C	1.542949849
Cc1cccc(OCC(=O)Nc2ccn(C)n2)c1	1.637989781
Cc1nc(-c2ccccc2)c(C(=O)Nc2ccccc2)s1	-0.045757491
Cc1cc(C(=O)Nc2c(C)nn(C(C)C)c2C)c2ccc(F)cc2n1	1.703205371
Cc1ccc2[nH]c(C3CCN(C)CC3)nc2c1	1.757851344
Cc1cccnc1NC(=O)Cc1coc2c(C)c(C)ccc12	1.873262459
CCc1nc2ccccc2n1CC(=O)Nc1ncc(C)s1	1.691965103
