smiles	logS	S
CCNc1ccnc(N(C)Cc2nc3ccccc3n2C)n1	1.567849451	36.97000003633996
Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1	1.267171728	18.499999982832495
c1ccc(-n2ncc3c(-n4ccnc4)ncnc32)cc1	0.696356389	4.970000003051706
CCNC(=O)c1ccc(CS(C)(=O)=O)cc1	1.611723308	40.89999999930858
Cc1ccnc(NC(=O)CN(C)C(=O)c2ccc(Cl)cc2)c1	1.80140371	63.29999999747043
COc1ccc(NC(=O)c2snnc2C)c(OC)c1	0.564666064	3.669999997869722
COc1ccc(NC(=O)C(C)N2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1	1.27989498	19.0499999994895
CCn1cc(C2CCN(Cc3ccc(C#N)cc3)CC2)cn1	1.632963168	42.94999998345855
CCOc1ccc(Nc2ncccc2C#N)cc1	0.965201701	9.229999999449296
CCn1nccc1-c1n[nH]c(=O)n1Cc1ccccc1	1.430719888	26.96000000848713
O=C(NCCc1ccc2c(c1)OCO2)C1CCCC1	1.624178926	42.09000002442061
Cc1noc(C(C)C)c1C(=O)Nc1ccccn1	1.765445018	58.269999987904434
c1ccc(C2(c3ccccc3)CCCN(Cc3nnc(C4CC4)o3)C2)cc1	1.550961752	35.55999997558537
CCc1ccc(NC(=O)C2CCN(c3ccc4nncn4n3)CC2)cc1	0.06069784	1.1499999990636458
Nc1ccnn1Cc1ccc(Cl)c(F)c1	1.613524703	41.07000001383967
Cc1cc(C)cc(Oc2cc(C#N)ccn2)c1	0.98811284	9.729999993987802
CCc1nc(NC(=O)c2ccccc2F)sc1C	1.361916619	23.0100000175561
CC(C)c1cc(CN(C)Cc2c[nH]nc2-c2ccc(F)cc2)no1	1.347330015	22.249999983761835
O=C(Cc1ccc2c(c1)CCCC2)Nc1ccc(-n2cnnn2)cc1	-0.022276395	0.9499999993681583
CC(C)CCN1CCn2c1nc1c2c(=O)n(C)c(=O)n1C	1.668385917	46.60000003326312
CNc1nc(-c2cc(OC)cc(OC)c2)ncc1F	1.408748606	25.629999989126798
O=C(NCc1cccc(F)c1)c1[nH]nnc1-c1ccccc1	1.321184027	20.949999985416618
Fc1cncc(-c2cnc(NCc3ccc(Cl)c(F)c3)nc2)c1	0.505149978	3.199999997642846
Nc1nncc(-c2ccccc2OC(F)F)n1	1.590061231	38.91000001758341
COc1cc(NC(=O)c2ccc(F)cc2C)ncn1	1.197556213	15.75999999442835
Cc1ccc(-c2noc3nc(C)cc(C(=O)O)c23)cc1	1.871047261	74.30999994772749
Cc1cc(-c2nnc3ccc4ccccc4n23)n(C)n1	1.23299611	17.099999984559254
Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O	1.522444234	33.30000003785346
COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1	1.811709027	64.82000004534456
C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5ocnc5c4)cc3c21	-0.327902142	0.4700000000695675
O=C1CC[C@H](O)[C@@H](c2cccc(Cl)c2)N1Cc1ccccc1	2.07371835	118.49999990555825
CN1CCC(NC(=O)COc2ccc(C#N)cc2)CC1	1.546295835	35.179999990162564
CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12	1.247359422	17.67499998091511
CC(C)CCNC(=O)c1ccc2ccccc2n1	0.862131379	7.279999994752615
Cc1sc2nc(CN3CCCC3)nc(N)c2c1C	1.649821463	44.64999997691236
Clc1snnc1CN1CCCN(c2nc3ccccc3[nH]2)CC1	1.44963265	28.159999969519994
CCCCCCCC/C(=C\CCCCCCCC(=O)O)[N+](=O)[O-]	1.103803721	12.700000001287947
CCN(CC)Cc1cccc(/C=C/c2nc3ccc(F)cc3c(=O)n2-c2ccccc2Cl)n1	1.829368108	67.51000000173785
N#Cc1cnn(-c2ccc(F)cc2)c1N	1.46478752	29.160000023772987
Cc1ccc(C(=O)C(=O)NC2CCCC2)cc1	1.480006943	30.200000002979664
Cc1nccc(-c2cccc(NCc3cc(C)on3)c2)n1	1.668385917	46.60000003326312
Fc1ccc(NCc2cccc(OCCN3CCOCC3)c2)nc1	1.598024072	39.629999969504716
CCCNC(=O)c1c(C)nn(-c2ccccc2)c1C	1.487703863	30.739999988411203
COc1cc2c(cc1OC)CN(C(=O)C1CCCN(C(C)=O)C1)CC2	1.740362689	54.99999993740787
Nc1ccc2c(ccn2CC(=O)N2CCOCC2)c1	1.702861171	50.45000004961083
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1	1.713826424	51.73999995466592
CCn1cc(NC(=O)c2ccccc2C)cn1	1.507451061	32.17000000726151
Cc1sc(NC(=O)CN2CCOC(C3CCCO3)C2)c(C)c1C	1.784617293	60.90000005148094
CCOc1ccc(C(=O)Cn2c(=O)n(-c3ccc(F)cc3)c3nc(C)nc(C(N)=O)c32)cc1	-0.408935393	0.3899999999762035
c1ccc(Cc2cccc3cc4c(nc23)OCCNC4)cc1	1.679609572	47.82000002425098
Cn1ccnc1CN(C(=O)c1[nH]c2ccccc2c1Cl)C1CC1	1.794348604	62.28000001490227
Cc1cc(OCc2ncc(C(C)(C)C)o2)nn1C	1.266936911	18.489999993223236
COc1ccc(-c2nnc(-c3ccccc3)o2)cc1OC	0.63748973	4.340000004871587
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1	1.095518042	12.459999990728733
CN(Cc1ccc(-c2ccc(Br)cc2)o1)C(=O)c1cnn(C)c1	0.742725131	5.529999996120187
CC(C(=O)Nc1ccc(C(N)=O)cc1)N1CCCC(c2nc3ccccc3o2)C1	1.751663946	56.449999966076724
O=C(NC[C@H]1CCN(c2ccccc2)C1)N1CCc2sccc2C1	1.226599905	16.84999999195483
CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1	1.759667845	57.50000004109251
COc1ccc(/C=C/C(=O)c2c(C)nc3ccccc3c2N)cc1	1.59747579	39.580000011813326
Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1	0.322219295	2.1000000012866145
COCc1nc(C2CCN(CCO)CC2)no1	1.557507202	36.10000000784203
CCNC(=O)c1ccc(-c2cc(C)cc(OC)c2OC)nc1	1.541204691	34.770000025358605
Cc1ccc(-c2ccc(-c3nccn3CCCn3cnnc3)o2)cc1	1.566201719	36.830000012303984
Cc1cc(NC(=O)c2cccs2)no1	1.500099192	31.63000000613797
O=C1CCCc2nc(Nc3nc(-c4ccccc4)c4ccccc4n3)ncc21	-0.795880017	0.160000000126762
COc1ccc(Nc2nc3ccccc3c3nncn23)cc1	-0.853871964	0.14000000010372382
CCOc1ccc(C(=O)Nc2cc(C(=O)OC)ccc2N2CCN(C(C)=O)CC2)cc1	0.382017043	2.410000002359153
COc1cc(CCNC(=O)c2nc3cccc(C)n3c2F)cc(OC)c1	1.596926814	39.5299999687824
CC(=O)Nc1ccc(O)cc1	1.442479769	27.699999995889364
CN1CCc2nc(NC(=O)c3ccc(Cl)s3)sc2C1	1.688419822	48.799999999695416
Cc1nc2cc(NC(=O)CCc3c(C)nc4c(c(C)nn4C)c3C)ccc2o1	0.968482949	9.300000009552052
N#Cc1cccc(CN2CCOC[C@H](O)C2)c1	1.324488233	21.109999985045572
CCNC(=O)c1ccnc(-c2ccc(F)c(C)c2)c1	1.452706227	28.36000003193045
CC(C)S(=O)(=O)c1ccc2nccc(Nc3ccc4scnc4c3)c2c1	1.58591171	38.53999997165289
Cc1nc(C#N)c(C#N)n1Cc1csc(-c2cccs2)n1	1.508529719	32.25000000213221
COc1cccc(CN2CCN(C(=O)Cc3ccc(C)cc3)[C@@H](C)C2)c1	1.643452676	43.99999995074252
CN(C)CCNc1c2c(c(C#N)c3nc4ccccc4n13)CCCC2	1.556302501	36.00000001929027
O=C(CCOc1ccccc1)N1CCCC1	1.589949601	38.89999997082618
Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12	1.372175286	23.559999993757906
Cc1nccc(C2(C)CCN(CC(N)=O)CC2)n1	1.77633791	59.75000005225609
O=C(Cn1ccnc1)NCc1ccccc1F	1.688063697	48.76000000602414
O=S(=O)(c1cn[nH]c1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1	0.161368002	1.449999999215478
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1	-0.15490196	0.6999999999770207
Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1	0.492760389	3.109999999807816
Cn1c(=O)n(Cc2cccc(OC(F)F)c2)c2cnccc21	1.690993032	49.08999998871136
N#Cc1ccc(CCC(=O)Nc2ccncc2)cc1	1.579097327	37.94000003908107
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1	1.004321374	10.100000005054891
COc1cc2c(cc1OC)CN(C(=O)C1CCCN(C(=O)Nc3ccccc3)C1)CC2	1.8162413	65.50000000123926
OC1CCN(c2ncc(-c3cnccn3)c(-c3cccs3)n2)CC1	1.680063427	47.86999994687735
NCCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1	2.154576117	142.75000002699048
O=C(Nc1nc2ccccc2[nH]1)c1ccccc1	0.217483944	1.6499999991873133
O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)[nH]n1-c1ccc(Cl)cc1	1.33825723	21.789999987644535
Cc1ccnc(Oc2cc(N)ccc2C)c1	1.548266545	35.33999998610588
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	1.538196578	34.5299999722155
Cc1cc(C(=O)Nc2cccc(-c3cnco3)c2)c2c(C)nn(C)c2n1	0.941014244	8.73000000591851
Clc1ccc(NCc2ccoc2)nn1	1.331629718	21.460000018286337
CCN(C(=O)N1CCC(OC2CCOCC2)CC1)C(C)C	1.748962861	56.09999996691035
Cc1ccc(CN(C)C(=O)c2cn(Cc3ccccc3F)nn2)cc1	1.056904851	11.399999991167775
O=C(Nc1ccc2sccc2c1)N1CCCN(C(=O)Oc2ccccc2)CC1	1.57818061	37.86000003244878
Nc1nc(CN2CCN(c3ccc(F)cc3)CC2)cs1	1.755722445	56.98000001266642
CCCS(=O)(=O)N1CCCC(C(=O)N2CCc3ccccc3C2)C1	1.738780558	54.79999993888149
Nc1cncc(-c2ccc(CN3CCCCC3)cc2)c1	1.414304688	25.959999992328967
O=c1c(=O)n(-c2ccc(F)c(F)c2)ccn1Cc1ccccc1Cl	-0.431798276	0.3699999999429232
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc(NS(C)(=O)=O)cc5)cc4c32)ccc1C	-0.522878745	0.30000000019365036
CON(C)C(=O)CCc1c(C)nn(C)c1C	1.534026106	34.199999995579454
CC(C)C(=O)Nc1ncc(-c2ccccc2)s1	-0.259637311	0.5499999993740788
CSCc1csc(NC(C)=O)n1	1.444981112	27.859999994358347
CC(C)(C)NC(=O)c1cnc(-c2ccc(Cl)s2)s1	0.041392685	1.0999999995992407
Cc1ccc(C)c(S(=O)(=O)N2CCCN(CCn3cccn3)CC2)c1	1.483872454	30.469999984377264
Cc1ccc(C(=O)N(C)C)cc1NS(C)(=O)=O	1.701395269	50.27999999838841
O=C(Nc1ccccc1)c1sc(N2CCOCC2)nc1-c1ccccc1	-0.585026652	0.2600000000174704
Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1	1.823637222	66.62499999468761
NCc1ccc(Oc2ccccc2)nc1	1.342422681	22.000000009006474
COc1ccc(F)c(CN2CCC(Cc3noc(C)n3)CC2)c1	1.841422044	69.40999993569395
Cc1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1	0.748188027	5.5999999999200485
Cc1ccc(CCNC(=O)N2CC(C)(C)OC(C)(C)C2)cn1	1.61415871	41.130000046483744
CCc1ncnc(N(C)Cc2ccc(N)nc2)c1F	1.542825427	34.900000003280304
CCOC(=O)c1cccnc1-c1ccc2[nH]ccc2c1	1.565847819	36.800000027664524
CCn1nccc1CNc1nnc(-c2ccc(OC)cc2)o1	1.433289685	27.11999998782141
CCc1nnc2c3ccccc3nc(Nc3ccc(OC)cc3)n12	-0.853871964	0.14000000010372382
Oc1cccc(CN2CCN(c3ncc(Br)cn3)CC2)c1	0.694605199	4.95000000075717
CC1(C(=O)O)CCN(Cc2ccccc2)CC1	1.652633068	44.93999999139993
CN(Cc1cccc(C#N)c1)C(=O)CC(C)(C)C	1.476396827	29.9500000189419
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2	1.9364132	86.38000005738591
Cc1noc(C)c1CS(=O)(=O)Cc1cccc2c1OCCO2	1.726727209	53.299999996738855
Cc1csc(N(C(=O)c2ccc(-n3cncn3)c(F)c2)C2CC2)n1	1.727053011	53.33999995653928
CN(CC(=O)NC1CC1)C(=O)C1C2CC3CC(C2)CC1C3	1.705692697	50.78000005405414
CC(=O)Nc1ccc(S(=O)(=O)NC2=NCN(Cc3ccccc3)CN2)cc1	1.78497371	60.95000000639953
CCN(CC)S(=O)(=O)c1ccc2c(c1)CCN2CC(=O)NCc1ccccc1F	1.640580806	43.70999995071843
CN(Cc1cnn(C)c1)c1ncnc2c1oc1ccccc12	1.628491105	42.5100000032181
CNC(=O)c1cc(-c2ccccc2)no1	1.567731963	36.96000003846092
Cc1ccc(C)c(OCC(=O)N2CCC(C(=O)Nc3ccccc3)CC2)c1	0.527629901	3.370000000998375
COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccncc4)n3)c(C)c2)cc1	-0.508638306	0.31000000011829637
c1ccc2c(c1)CCN(Cc1nnc3n1CCC3)C2	1.547774705	35.29999996847729
Nc1nc2ccccc2n1CCCc1ccccc1	1.434568904	27.199999997858125
CN(C)Cc1csc(-c2nccn2-c2ccc3c(c2)n(C)c(=O)n3C)c1	1.497482537	31.439999973404863
Cc1noc(C)c1CCC(=O)Nc1cccnc1	1.745933158	55.709999941064034
N#Cc1ccc(CN2CC(n3cccn3)C2)cc1	1.562768543	36.53999999861015
C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1	0.58546073	3.850000004357118
Cc1cnc(C(=O)N[C@H]2CCOC[C@@H]2O)cc1Cc1ccc(-c2cscn2)cc1	1.791339704	61.85000000496467
O=C(c1ccc(F)c(F)c1)N1CCN(C(=O)c2nc(Cl)ccc2Cl)CC1	1.790144365	61.67999999390711
CCCn1nccc1NC(=O)c1c(C)noc1C	1.498310554	31.500000015260568
Cc1nnc(N2CCCSCC2)c(C#N)c1C	1.373463722	23.63000002000284
Cc1ccc2cc(C(=O)N(C)CCC#N)[nH]c2c1	0.602059991	3.9999999969793545
N#Cc1cc(F)c(N2CCN(CCO)CC2)c(F)c1	1.615739689	41.280000036199596
Cc1cc(C)cc(NC(=O)COC(=O)c2nn(C)c(=O)c3ccccc23)c1	-0.013228266	0.9699999994053401
Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1	1.633569443	43.01000004416016
Cn1nc(C2CC2)c2[nH]c(-c3cccc(CN4CCOCC4)c3)nc21	1.694078462	49.43999999080636
Cn1c(=O)n(C2CCCC2)c(=O)c2c(F)cccc21	1.41447195	25.97000002216701
CCC1(O)CN(c2ncnc3c2c(Br)nn3C)C1	1.691435152	49.139999983699504
O=c1[nH]c2ccccc2n1C1CCN(c2ncnc3sccc23)CC1	0.62838893	4.249999999507652
Cc1ccccc1-c1nc(Cn2ccnc2C(C)C)c(C)o1	1.690284703	49.01000005499961
CN(C)c1cccc(C2CCN(c3ncccn3)CC2)n1	1.22685757	16.859999988791294
O=C(NCC1CC1)c1cncn1-c1ccc(F)cc1	1.717670503	52.199999999728085
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	1.632693441	42.923333335830215
CSc1cccc(-c2ccccc2-c2nnc(C)o2)c1	1.618466492	41.53999998095809
Cc1nc(-c2ccccc2)ccc1C(=O)N1CCCS1(=O)=O	1.894924977	78.50999993500321
COc1ccc(-c2csc(CC(N)=O)n2)cc1	1.495544338	31.30000003268787
O=C(O)CCn1c2ccccc2c2ccccc21	1.716086854	52.010000026965535
CCc1ccccc1NC(=O)c1cc(C)nc2onc(C)c12	1.123851641	13.300000001007975
Cc1c(C(=O)NCc2cnc(N(C)C)n2C)sc2ccccc12	1.707570176	50.99999998849915
Cn1cc(-c2nc(C(=O)Nc3ccc4c(c3)OCCCO4)cs2)cn1	1.531478917	33.99999999669194
Cn1ccc(CN2CCC(c3cnccn3)CC2)n1	1.698970004	49.9999999613144
Cc1nn(C)c(C)c1NC(=O)CN1CCC2(CCCCC2)CC1	1.941262909	87.34999993584938
CCc1ccccc1NC(=O)Cn1nc(C)cc1C	1.645618738	44.21999997528871
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	1.789580712	61.59999997667802
O=C(Cc1cccc(I)c1)N1CC(CO)C1	1.624282096	42.10000001593012
CNc1nc(C2CCNCC2)nc2c1CN(C)CC2	1.559308011	36.25000000776154
COCCOCc1ccc(-c2cc3onc(-c4ccccc4)c3c(=O)n2C)cc1	1.153509989	14.239999990135894
N#Cc1cccc(NC(=O)C2CCC2)c1	1.528402438	33.76000000360557
Cc1noc(OCC(=O)N2CCCCCC2)n1	1.701049631	50.240000031333636
Cc1ccc2nc3c(c(C(=O)NCc4nnc5n4CCC5)c2c1)CCCC3	1.756636108	57.099999967676474
COc1ccccc1C(=O)Nc1cccc(-c2ccnc(C)n2)c1	1.666705136	46.41999998718449
O=C(Cc1ccccc1F)N1CCN(c2nccn3nc4c(c23)CCCC4)CC1	1.749117662	56.11999995395564
CN(Cc1cnccn1)C(=O)c1cc(-c2ccc(F)cc2)on1	1.203848464	15.990000009343216
COc1ccc(/C=C/C(=O)c2c(C)nc3ccccc3c2N)c(OC)c1	1.608739919	40.619999993566196
CN(C)c1cc(CNc2ccc(C#N)cn2)ccn1	1.662568967	45.98000000706592
Fc1cccc(OC2CCN(Cc3nc4ccccc4[nH]3)CC2)c1	1.739255803	54.859999966081794
CCS(=O)(=O)CC(=O)Nc1cc(C)ccc1C	1.606596309	40.419999983313836
NC(=O)CC1CCN(c2ncccn2)CC1	1.765072201	58.21999998622006
O=C(NCc1ccc(F)cc1)C1(Cc2ccc(-c3cccnc3)cc2)CCOCC1	1.941759814	87.45000003731316
CC(C)(C)OC(=O)N1CCNC(=O)C1	1.535167485	34.289999990924514
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	1.773786445	59.400000002572234
CCc1nc(C)c(Cn2ccnc2-c2cnc(N3CCCC3)nc2)s1	1.544688022	35.04999997557224
O=C(CCNc1ncccn1)N1CCc2ccccc2C1	1.545059585	35.08000002471682
Cc1n[nH]c(C)c1Cc1ccc(NCCC(C)C)cc1	1.167612673	14.710000009228837
CCCn1ncc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc21	1.693726949	49.400000008684984
CC(C)CC(=O)Nc1cccnc1N(C)C	1.481299273	30.28999997678488
Cn1c(NC(=O)C2CC2c2ccc(Cl)cc2)nc2ccccc21	-0.522878745	0.30000000019365036
CN(Cc1ccccn1)c1nc2ccccc2o1	1.577951128	37.84000002354639
COc1ccc(C)cc1-n1ccc(C(=O)Nc2c3c(nn2C)CCC3)n1	1.521138084	33.20000002262518
Cc1cc(C)c(-c2csc(NC(=O)Cn3cnnn3)n2)c(C)c1	-0.920818754	0.11999999998684077
O=C(NC1CC1)c1cccnc1Oc1ccccc1	1.814513952	65.23999994468302
CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1	0.819543936	6.60000000696225
N#Cc1ccccc1Cn1nnc(-c2ccccc2)n1	1.058805487	11.45000000854459
COc1ccc(CCn2c(C3CC3)n[nH]c2=O)cc1	1.452553063	28.349999985056147
NC(=O)CN1CCC(CCc2ccccc2)CC1	1.616265405	41.32999997319101
CN1CCC(C(=O)N2CCC(c3cc(C(F)(F)F)c4c(n3)CCNC4=O)CC2)CC1	1.718501689	52.30000001598353
Cc1nc(C)c2c(C)c(C(=O)N(C)Cc3ccc(C)o3)sc2n1	1.574031268	37.50000002351064
CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1	0.472024698	2.9650000020462284
Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)cc1	1.112269768	12.949999987557625
O=C(NCc1ccc(O)cc1)Nc1ccncc1F	1.577836341	37.829999974500005
CCCN1CCCN(c2ncccc2C#N)CC1	1.445136969	27.87000001839814
CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1	0.526339277	3.3599999969838996
CC(Oc1ccc(Cl)cc1)C(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1	1.461648568	28.9499999957701
COc1ccc(-c2ccc(CNc3ccc(CN4CCC(C)CC4)cc3)cc2)cc1	1.167317335	14.700000008523732
CC(C)c1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1cccc2nonc12	1.727785174	53.429999977497616
Cn1cc(C2CCN(CC(=O)N3CCc4sccc4C3)CC2)cn1	1.792251572	61.980000013805586
Cc1ccc2oc([C@H]3CCN(Cc4cccs4)C3)nc2c1	1.419955748	26.29999997034125
COc1ccccc1-c1nn(-c2ccccc2)cc1CO	1.295127085	19.729999988542957
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1	0.278753601	1.9000000002063693
N#Cc1cccc(CN2CCOC[C@H](Oc3ccccc3)C2)c1	1.723044992	52.85000004338974
N#CC1(NC(=O)CN2CCOCC2)CCCCCC1	1.653791187	45.059999959762756
N#Cc1ccc(Cn2cncn2)c(F)c1	1.42373725	26.530000001079472
COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCN(C)CC1	1.660865478	45.79999999959197
Cc1ccsc1C(=O)Nc1nc2ccccc2s1	-0.537602002	0.29000000006747206
N#CC1(CN2CCc3cc(-c4ccccc4)oc3C2)CC1	1.480868924	30.260000021796955
Cc1nn(C)c(C)c1NC(=O)CN1CCN(c2nccs2)CC1	1.765072201	58.21999998622006
COc1ccc2c(c1)CN(C(=O)c1cc(C3CC3)[nH]n1)CC2	1.13481437	13.639999989935225
Cc1cc(NC(=O)C2CCOCC2)sn1	1.751817788	56.470000034212816
Cc1ccc(C(=O)Nc2ccccc2C(C)(C)C)cn1	1.50501424	31.989999993804695
Cc1nc(Cl)cc(Nc2cnn(C(C)(C)C)c2)n1	1.353916231	22.590000004142347
c1ccc(-c2ccc(Cn3ccnc3-c3cc4n(n3)CCCNC4)cc2)cc1	0.661812686	4.590000004890624
